sample,gps_start_heading,gps_start_x_position,gps_start_y_position,inertial_start_heading,inertial_start_rotation,distance_limit_forward,distance_limit_reverse,distance_estimate,left_direction,right_direction,volts,duration_ms,gps_stop_heading,gps_stop_x_position,gps_stop_y_position,inertial_stop_heading,inertial_stop_rotation,gps_cooldown_heading,gps_cooldown_x_position,gps_cooldown_y_position,inertial_cooldown_heading,inertial_cooldown_rotation,gps_final_heading,gps_final_x_position,gps_final_y_position,inertial_final_heading,inertial_final_rotation,gps_stop_angle,gps_cooldown_angle,gps_final_angle,inertial_stop_angle,inertial_cooldown_angle,inertial_final_angle,inertial_stop_travel,inertial_cooldown_travel,inertial_final_travel,gps_stop_distance,gps_cooldown_distance,gps_final_distance
67,174.4754,1056.425,143.1969,174.4754,194.4861,1952.265,1664.535,4390.0,0.0,1.0,10.4,2750.0,1.573036,1271.647,331.278,249.1828,1349.193,37.21069,984.7424,167.0141,6.757082,1466.768,27.409,1006.219,152.5428,6.756833,1466.768,-172.9024,-137.2647,-147.0664,74.7074,-167.7183,-167.7186,1154.7069,1272.2819,1272.2819,285.8234,75.5358,51.0685
68,26.44373,1016.992,149.659,26.44373,1466.768,874.506,2177.484,1948.0,1.0,1.0,8.8,1400.0,30.13765,371.216,-881.4555,31.15749,1471.482,30.61972,398.4574,-1095.521,32.84405,1473.169,30.14625,390.2355,-1125.627,32.84343,1473.168,3.6939,4.176,3.7025,4.7138,6.4003,6.3997,4.714,6.401,6.4,1216.6445,1390.3447,1420.9779
69,30.35033,347.8831,-1115.918,30.35033,1473.169,1682.732,792.7237,235.0,1.0,0.0,0.6,1500.0,29.96484,426.0797,-1117.577,30.11494,1472.934,29.6645,333.5185,-1124.99,30.13894,1472.957,30.83485,235.3684,-1113.168,30.13923,1472.958,-0.3855,-0.6858,0.4845,-0.2354,-0.2114,-0.2111,-0.235,-0.212,-0.211,78.2142,16.9895,112.5483
70,32.10123,336.7355,-1100.815,32.10123,-0.06337479,1727.36,825.376,147.25,0.0,1.0,0.9,350.0,32.22099,414.0483,-1101.435,32.65928,0.4946791,31.86828,415.6145,-1107.516,32.77578,0.6111739,32.55569,171.6363,-1166.332,32.776,0.6113966,0.1198,-0.233,0.4545,0.5581,0.6746,0.6748,0.5581,0.6745,0.6748,77.3153,79.1631,177.6238
71,32.92197,303.7506,-1124.852,32.92197,0.6110755,1782.498,804.3113,145.0,0.0,0.0,1.2,250.0,32.7033,403.0836,-1114.837,33.15801,0.8471081,30.51652,479.5429,-1115.021,33.06063,0.7497272,30.42098,320.1289,-1107.819,33.06078,0.7498848,-0.2187,-2.4055,-2.501,0.236,0.1387,0.1388,0.236,0.1387,0.1388,99.8366,176.067,23.6299
72,30.26186,537.0105,-1120.831,30.26186,0.7495194,1462.248,786.3202,2611.0,0.0,1.0,6.2,2700.0,313.6221,248.6999,-1105.87,318.0654,648.553,11.90006,122.6138,-973.5453,8.415655,698.9033,20.06564,153.3111,-1011.575,8.415194,698.9028,-76.6398,-18.3618,-10.1962,-72.1965,-21.8462,-21.8467,647.8035,698.1538,698.1533,288.6985,439.7928,398.9513
73,21.15193,183.2502,-1046.289,21.15193,698.904,1733.544,808.1593,115.0,0.0,1.0,1.0,100.0,21.3796,173.4599,-1074.705,21.15885,698.911,22.00323,247.5556,-1052.3,21.18314,698.9352,22.1675,192.0422,-1097.185,21.18257,698.9346,0.2277,0.8513,1.0156,0.0069,0.0312,0.0306,0.007,0.0312,0.0306,30.0553,64.5857,51.6498
74,22.06577,248.5901,-1108.683,22.06577,698.9354,1674.027,745.9563,3947.5,1.0,0.0,9.5,2700.0,345.0311,113.2771,-1324.757,77.6166,-325.5138,305.3793,102.2723,-1093.551,337.5299,-425.6005,318.3409,109.8844,-1107.219,337.5288,-425.6016,-37.0347,-76.6865,-63.7249,55.5508,-44.5359,-44.537,-1024.4492,-1124.5359,-1124.537,254.9462,147.0982,138.7134
75,319.8751,125.6044,-1108.178,319.8751,-425.6005,2987.957,904.7652,616.0,0.0,0.0,8.6,400.0,318.1795,44.36858,-903.6162,317.9204,-427.5553,314.5316,-166.8189,-653.0736,313.8708,-431.6049,314.0972,-185.5167,-678.7931,313.871,-431.6047,-1.6956,-5.3435,-5.7779,-1.9547,-6.0043,-6.0041,-1.9548,-6.0044,-6.0042,220.1018,540.9542,530.2525
76,313.9998,-169.4163,-668.5515,313.9998,-431.6055,2266.773,1572.894,2896.75,1.0,0.0,11.3,1650.0,215.8821,292.9256,-641.4447,311.0184,-1154.587,149.0964,-318.4097,-915.8985,168.5862,-1297.019,154.8722,-271.5912,-883.9325,168.5858,-1297.019,-98.1177,-164.9034,-159.1276,-2.9814,-145.4136,-145.414,-722.9815,-865.4135,-865.4135,463.1358,288.7552,238.3877
77,155.0993,-268.9085,-878.3277,155.0993,-1297.02,1016.133,2952.825,208.0,0.0,0.0,1.2,600.0,154.8195,-247.7067,-912.7553,154.7849,-1297.334,154.3019,-227.6488,-916.9302,154.2373,-1297.882,154.2752,-226.5049,-911.5458,154.2377,-1297.881,-0.2798,-0.7974,-0.8241,-0.3144,-0.862,-0.8616,-0.314,-0.862,-0.861,40.4324,56.5024,53.8656
78,154.2928,-224.4523,-911.3025,154.2928,-1297.881,986.3211,3009.14,139.0,1.0,1.0,0.1,2600.0,154.3008,-221.8179,-910.5021,154.2922,-1297.881,154.3029,-219.6269,-910.7125,154.2921,-1297.881,154.2803,-220.169,-911.0467,154.2917,-1297.882,0.008,0.0101,-0.0125,-0.0006,-0.0007,-0.0011,0.0,0.0,-0.001,2.7533,4.8613,4.2909
79,154.2646,-220.3151,-913.404,154.2646,-1297.881,984.2223,3012.187,1980.25,1.0,1.0,10.9,1150.0,156.3059,-697.4041,169.0949,156.2491,-1295.897,157.7949,-889.5218,584.716,158.0098,-1294.136,157.8565,-891.2071,588.8521,158.0098,-1294.136,2.0413,3.5303,3.5919,1.9845,3.7452,3.7452,1.984,3.745,3.745,1182.9699,1640.7928,1645.2567
80,158.5616,-881.0698,583.2473,158.5616,-0.04965992,2560.398,1307.196,3263.5,0.0,1.0,7.4,2850.0,302.3508,-999.7964,1169.722,270.4118,831.8006,349.5468,-804.3433,722.8231,335.1763,896.565,348.1632,-796.8529,714.5602,335.1748,896.5635,143.7892,-169.0148,-170.3984,111.8502,176.6147,176.6132,831.8503,896.6147,896.6132,598.3716,159.2745,155.9986
